S,E,I,R
19970,10,15,5
19964,14,14,8
19955,19,17,9
19939,31,20,10
19923,39,24,14
19898,53,31,18
19868,69,39,24
19825,93,52,30
19778,112,74,36
19709,153,93,45
19612,216,117,55
19490,279,161,70
19327,362,222,89
19136,448,293,123
18916,549,375,160
18582,718,496,204
18147,951,646,256
17564,1277,821,338
16829,1644,1071,456
15945,2088,1365,602
14897,2578,1746,779
13623,3139,2233,1005
12180,3672,2856,1292
10530,4210,3631,1629
8833,4625,4415,2127
7220,4874,5181,2725
5703,5007,5869,3421
4400,4902,6499,4199
3368,4563,7008,5061
2508,4142,7350,6000
1895,3588,7540,6977
1432,3106,7486,7976
1131,2551,7354,8964
855,2122,7123,9900
692,1730,6716,10862
570,1353,6378,11699
507,1115,5861,12517
449,903,5359,13289
421,740,4896,13943
396,603,4468,14533
381,489,4053,15077
359,421,3659,15561
354,348,3320,15978
364,286,2997,16353
389,237,2680,16694
411,211,2365,17013
452,177,2115,17256
471,166,1869,17494
501,138,1639,17722
529,126,1459,17886
569,127,1250,18054
601,124,1115,18160
648,111,1006,18235
692,109,891,18308
745,96,783,18376
770,95,694,18441
814,91,630,18465
861,82,549,18508
904,72,501,18523
971,69,466,18494
1014,57,417,18512
1071,54,377,18498
1121,47,329,18503
1166,47,296,18491
1210,46,273,18471
1255,55,240,18450
1306,47,225,18422
1358,43,205,18394
1398,47,184,18371
1453,39,175,18333
1512,40,159,18289
1584,31,149,18236
1639,35,132,18194
1712,29,119,18140
1774,33,107,18086
1851,29,98,18022
1914,29,84,17973
1975,30,70,17925
2035,25,62,17878
2081,21,59,17839
2148,19,55,17778
2205,10,59,17726
2255,9,53,17683
2312,11,47,17630
2373,13,46,17568
2431,13,32,17524
2507,11,33,17449
2562,15,25,17398
2615,12,23,17350
2666,10,27,17297
2714,12,24,17250
2763,10,24,17203
2818,11,23,17148
2864,10,24,17102
2923,9,25,17043
2983,10,23,16984
3030,11,14,16945
3075,9,13,16903
3120,10,13,16857
3170,8,16,16806
3216,10,15,16759
3269,9,16,16706
3318,6,22,16654
3355,7,21,16617
3402,8,20,16570
3462,5,17,16516
3506,7,13,16474
3562,6,14,16418
3606,7,15,16372
3660,9,13,16318
3717,6,16,16261
3767,7,16,16210
3821,6,16,16157
3865,8,17,16110
3908,8,16,16068
3951,9,15,16025
3996,7,18,15979
4038,9,17,15936
4078,9,19,15894
4130,11,19,15840
4170,15,21,15794
4213,12,21,15754
4265,9,21,15705
4309,6,23,15662
4341,8,21,15630
4383,7,17,15593
4425,8,15,15552
4460,9,17,15514
4492,9,21,15478
4538,5,21,15436
4580,13,19,15388
4624,12,19,15345
4655,14,22,15309
4695,17,22,15266
4743,17,25,15215
4789,16,24,15171
4815,14,28,15143
4852,18,29,15101
4898,17,31,15054
4933,18,32,15017
4984,19,36,14961
5012,30,36,14922
5045,33,40,14882
5080,34,42,14844
5108,36,49,14807
5122,36,57,14785
5157,39,58,14746
5180,39,60,14721
5207,45,63,14685
5249,37,74,14640
5285,45,69,14601
5296,51,69,14584
5319,52,79,14550
5339,56,81,14524
5371,70,77,14482
5390,66,90,14454
5416,63,92,14429
5430,65,94,14411
5450,61,106,14383
5471,71,110,14348
5487,71,117,14325
5499,82,124,14295
5498,100,125,14277
5528,94,147,14231
5552,100,149,14199
5556,107,160,14177
5564,120,168,14148
5571,135,181,14113
5566,143,204,14087
5549,173,207,14071
5538,176,225,14061
5502,198,239,14061
5483,206,259,14052
5463,212,274,14051
5435,217,306,14042
5402,221,326,14051
5387,225,339,14049
5349,240,369,14042
5341,236,379,14044
5288,273,391,14048
5243,274,417,14066
5212,277,436,14075
5156,295,447,14102
5094,313,496,14097
5039,335,508,14118
4984,337,536,14143
4909,358,568,14165
4836,363,584,14217
4768,368,610,14254
4694,403,628,14275
4620,414,666,14300
4550,414,701,14335
4482,410,744,14364
4372,463,749,14416
4301,445,796,14458
4199,482,814,14505
